"YEAR","PEO_ENFORCE_HANGYE","PEO_ENFORCE_QUYU","ENFORCEPEO_JOBCLASS","SUM(*)"
2017.0,"人社","罗湖区","副处级",1.0
2017.0,"人社","南山区","副处级",5.0
2017.0,"人社","坪山区","副处级",2.0
2017.0,"人社","盐田区","副处级",5.0
2017.0,"审计","福田区","副处级",2.0
2017.0,"审计","光明区","副处级",1.0
2017.0,"审计","龙岗区","副处级",4.0
2017.0,"审计","龙华区","副处级",1.0
2017.0,"审计","罗湖区","副处级",3.0
2017.0,"审计","坪山区","副处级",1.0
2017.0,"审计","盐田区","副处级",2.0
2017.0,"生态","大鹏新区","副处级",2.0
2017.0,"生态","福田区","副处级",0.0
2017.0,"生态","龙岗区","副处级",1.0
2017.0,"生态","龙华区","副处级",2.0
2017.0,"生态","罗湖区","副处级",1.0
2017.0,"生态","南山区","副处级",1.0
2017.0,"生态","坪山区","副处级",2.0
2017.0,"生态","盐田区","副处级",1.0
2017.0,"市监","宝安区","副处级",4.0
2017.0,"市监","大鹏新区","副处级",4.0
2017.0,"市监","福田区","副处级",5.0
2017.0,"市监","龙岗区","副处级",2.0
2017.0,"市监","龙华区","副处级",3.0
2017.0,"市监","罗湖区","副处级",4.0
2017.0,"市监","南山区","副处级",4.0
2017.0,"市监","坪山区","副处级",3.0
2017.0,"水务","宝安区","副处级",2.0
2017.0,"水务","福田区","副处级",0.0
2017.0,"水务","龙岗区","副处级",2.0
2017.0,"水务","龙华区","副处级",2.0
2017.0,"水务","罗湖区","副处级",1.0
2017.0,"水务","南山区","副处级",2.0
2017.0,"水务","盐田区","副处级",1.0
2017.0,"司法","坪山区","副处级",0.0
2017.0,"司法","盐田区","副处级",0.0
2017.0,"统计","福田区","副处级",3.0
2017.0,"统计","龙华区","副处级",1.0
2017.0,"统计","罗湖区","副处级",1.0
2017.0,"统计","南山区","副处级",4.0
2017.0,"统计","盐田区","副处级",0.0
2017.0,"卫生","宝安区","副处级",3.0
2017.0,"卫生","大鹏新区","副处级",0.0
2017.0,"卫生","福田区","副处级",4.0
2017.0,"卫生","龙岗区","副处级",4.0
2017.0,"卫生","南山区","副处级",0.0
2017.0,"卫生","坪山区","副处级",1.0
2017.0,"文体","宝安区","副处级",1.0
2017.0,"文体","大鹏新区","副处级",1.0
2017.0,"文体","福田区","副处级",1.0
2017.0,"文体","光明区","副处级",0.0
2017.0,"文体","南山区","副处级",1.0
2017.0,"医疗","宝安区","副处级",0.0
2017.0,"医疗","大鹏新区","副处级",1.0
2017.0,"医疗","福田区","副处级",0.0
2017.0,"医疗","光明区","副处级",0.0
2017.0,"医疗","龙岗区","副处级",0.0
2017.0,"医疗","龙华区","副处级",1.0
2017.0,"医疗","罗湖区","副处级",1.0
2017.0,"医疗","南山区","副处级",0.0
2017.0,"医疗","坪山区","副处级",0.0
2017.0,"医疗","盐田区","副处级",0.0
2017.0,"应急","大鹏新区","副处级",3.0
2017.0,"应急","福田区","副处级",4.0
2017.0,"应急","龙华区","副处级",1.0
2017.0,"应急","罗湖区","副处级",5.0
2017.0,"应急","南山区","副处级",2.0
2017.0,"应急","坪山区","副处级",1.0
2017.0,"应急","盐田区","副处级",3.0
2017.0,"住建","宝安区","副处级",7.0
2017.0,"住建","福田区","副处级",1.0
2017.0,"住建","光明区","副处级",1.0
2017.0,"住建","龙岗区","副处级",1.0
2017.0,"住建","龙华区","副处级",3.0
2017.0,"住建","罗湖区","副处级",3.0
2017.0,"住建","南山区","副处级",5.0
2017.0,"住建","坪山区","副处级",0.0
2017.0,"住建","盐田区","副处级",2.0
2018.0,"保密","龙岗区","副处级",1.0
2018.0,"财政","宝安区","副处级",1.0
2018.0,"财政","福田区","副处级",4.0
2018.0,"财政","龙华区","副处级",1.0
2018.0,"财政","罗湖区","副处级",5.0
2018.0,"财政","南山区","副处级",1.0
2018.0,"财政","坪山区","副处级",0.0
2018.0,"城管","宝安区","副处级",4.0
2018.0,"城管","福田区","副处级",0.0
2018.0,"城管","光明区","副处级",0.0
2018.0,"城管","龙岗区","副处级",7.0
2018.0,"城管","龙华区","副处级",2.0
2018.0,"城管","罗湖区","副处级",3.0
2018.0,"城管","南山区","副处级",8.0
2018.0,"城管","坪山区","副处级",6.0
2018.0,"城管","盐田区","副处级",13.0
2018.0,"工信","龙华区","副处级",3.0
2018.0,"规自","宝安区","副处级",1.0
2018.0,"规自","大鹏新区","副处级",4.0
2018.0,"规自","福田区","副处级",3.0
2018.0,"规自","光明区","副处级",1.0
2018.0,"规自","龙岗区","副处级",6.0
2018.0,"规自","龙华区","副处级",2.0
2018.0,"规自","罗湖区","副处级",9.0
2018.0,"规自","南山区","副处级",2.0
2018.0,"规自","坪山区","副处级",2.0
2018.0,"规自","盐田区","副处级",4.0
2018.0,"教育","宝安区","副处级",1.0
2018.0,"教育","福田区","副处级",5.0
2018.0,"教育","光明区","副处级",1.0
2018.0,"教育","龙岗区","副处级",1.0
2018.0,"教育","龙华区","副处级",1.0
2018.0,"教育","南山区","副处级",0.0
2018.0,"教育","坪山区","副处级",1.0
2018.0,"民政","宝安区","副处级",1.0
2018.0,"民政","福田区","副处级",1.0
2018.0,"民政","龙华区","副处级",2.0
2018.0,"民政","南山区","副处级",1.0
